n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,experiment
1,0.000198578,0.000346182,0.000112,0.000137,0.0001455,0.00016725,0.002914,binary
1000001,0.000188234,0.000490842,9.5e-05,0.000111,0.000121,0.00013425,0.004047,binary
2000001,0.000141875,0.000262181,8.5e-05,9e-05,0.000106,0.000121,0.002199,binary
3000001,0.000131031,9.15858e-05,8.5e-05,0.000102,0.000112,0.00013325,0.000808,binary
4000001,0.000137625,0.000224243,9.1e-05,9.7e-05,0.000105,0.00011325,0.001897,binary
5000001,0.000136594,0.000221375,8.5e-05,9e-05,9.35e-05,0.0001395,0.001866,binary
6000001,0.000144969,0.000136028,8.3e-05,0.00012975,0.0001325,0.000143,0.001204,binary
7000001,0.000162219,0.000272688,8.8e-05,0.000114,0.00012,0.00014475,0.002305,binary
8000001,0.000146578,0.000122492,0.000104,0.000122,0.000123,0.000139,0.001104,binary
9000001,0.000140781,0.00019666,8.9e-05,0.000105,0.00011,0.000124,0.001682,binary
10000001,0.000152375,0.000221152,8.4e-05,0.00011475,0.0001195,0.00014425,0.001886,binary
11000001,0.000141422,0.000168528,8.6e-05,0.000113,0.0001145,0.00012625,0.001462,binary
12000001,0.000128844,8.6044e-05,9.7e-05,0.000109,0.000111,0.00013,0.000798,binary
13000001,0.000145703,0.000340356,8.2e-05,8.5e-05,8.7e-05,0.00012175,0.002818,binary
14000001,0.000137219,0.000161756,9.7e-05,9.9e-05,0.000102,0.000138,0.001399,binary
15000001,0.000159734,0.00024627,9.6e-05,0.00011375,0.000129,0.00014325,0.002093,binary
16000001,0.000126125,0.00012922,8.4e-05,8.875e-05,9.85e-05,0.00013825,0.001125,binary
17000001,0.000145734,0.00019419,8.5e-05,0.0001,0.0001125,0.00014125,0.001662,binary
18000001,0.000132469,0.000108435,8.5e-05,9.9e-05,0.000109,0.000144,0.000965,binary
19000001,0.000145078,0.000220367,8.1e-05,9.7e-05,0.000116,0.00013575,0.001871,binary
