n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.015803,0.000460511,0.0151783,0.0155063,0.0157185,0.0159057,0.017449
20000000,0.0317915,0.00218167,0.0308476,0.0310916,0.0313381,0.0317004,0.045241
30000000,0.04656,0.0026992,0.0451865,0.0457187,0.0459552,0.0464668,0.0619116
40000000,0.0556181,0.00197459,0.0545066,0.0550635,0.0552573,0.055544,0.0699541
50000000,0.0708472,0.00716914,0.0685313,0.0690418,0.0693781,0.0696887,0.112437
60000000,0.0857882,0.00660583,0.0829247,0.084003,0.0842681,0.0849993,0.128639
70000000,0.0997467,0.00773165,0.0970008,0.0975511,0.0977571,0.0981868,0.141386
80000000,0.113588,0.0055074,0.111511,0.11218,0.112393,0.112974,0.152674
90000000,0.129568,0.00942662,0.125986,0.126835,0.12754,0.127997,0.194383
100000000,0.149704,0.0262976,0.13975,0.141306,0.141859,0.143164,0.261583
