n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.015171,0.0011734,0.0145851,0.0148091,0.0149507,0.015125,0.0237806
20000000,0.0302302,0.00184687,0.0292758,0.0296084,0.0298502,0.0301963,0.0438565
30000000,0.0443486,0.0048091,0.041251,0.0432789,0.0438274,0.0442237,0.0783756
40000000,0.0561352,0.00504747,0.0542158,0.0549595,0.0551402,0.0554481,0.092553
50000000,0.0702968,0.00622506,0.0684574,0.0688407,0.0692751,0.0696377,0.116854
60000000,0.0859262,0.00502707,0.0835559,0.0845336,0.0849939,0.0854173,0.121646
70000000,0.101269,0.00990367,0.0973351,0.0988708,0.0992398,0.0999292,0.161804
80000000,0.115321,0.00858584,0.111319,0.112381,0.113511,0.114431,0.16949
90000000,0.130391,0.00822371,0.125539,0.12759,0.128388,0.12881,0.16465
100000000,0.15029,0.0262893,0.139797,0.141881,0.142785,0.144109,0.273561
