n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Búsqueda
1000000,0.000136734,3.09697e-05,0.000103,0.000129,0.000133,0.000156,0.000506,binaria
2000000,0.000157445,2.40916e-05,0.000106,0.00014575,0.000162,0.000166,0.000411,binaria
4000000,0.00015275,3.84333e-05,0.000111,0.000141,0.0001455,0.000166,0.000701,binaria
8000000,0.000150918,1.5969e-05,0.000132,0.000147,0.000148,0.00015,0.000378,binaria
16000000,0.000164137,1.74846e-05,0.000121,0.000153,0.0001565,0.000175,0.000362,binaria
32000000,0.000165902,2.36159e-05,0.000125,0.000157,0.00016,0.00017325,0.00049,binaria
64000000,0.00016484,2.23073e-05,0.000126,0.00016,0.000163,0.00017225,0.000365,binaria
128000000,0.000172793,3.16614e-05,0.000154,0.000168,0.0001695,0.000171,0.000665,binaria
256000000,0.00019507,0.000323798,0.000151,0.000172,0.000174,0.000177,0.005354,binaria
512000000,0.000191422,4.80166e-05,0.000144,0.000178,0.000184,0.000201,0.00092,binaria
1024000000,0.000188566,4.51185e-05,0.000145,0.000182,0.0001845,0.000189,0.000856,binaria
1000000,5.56779,0.0842319,5.07784,5.54759,5.60088,5.6205,5.64525,secuencial
2000000,10.8851,0.431307,9.51329,10.6378,11.0722,11.225,11.4415,secuencial
4000000,22.1907,0.378124,20.1518,22.1536,22.288,22.4114,22.7833,secuencial
8000000,44.5594,0.434724,42.8837,44.3991,44.5846,44.7793,47.81,secuencial
16000000,89.1357,0.563794,87.5333,88.8545,89.162,89.4374,92.8634,secuencial
32000000,178.444,0.781763,176.406,177.987,178.381,178.787,182.552,secuencial
64000000,356.969,1.60531,344.188,356.458,357.124,357.776,364.363,secuencial
128000000,713.092,2.53076,686.224,712.324,713.254,714.157,717.91,secuencial
256000000,1427.5,3.41036,1399.42,1425.91,1427.68,1429.18,1435.47,secuencial
512000000,2856.29,3.9018,2843.66,2853.28,2856.79,2859.16,2864.95,secuencial
1024000000,5716.1,6.51671,5697.05,5712,5716.6,5721.17,5728.72,secuencial
1000000,0.000216672,6.27634e-05,0.000205,0.000209,0.00021,0.000212,0.001209,exponencial
2000000,0.000228582,5.55818e-05,0.000177,0.000217,0.000221,0.000235,0.001088,exponencial
4000000,0.00024298,5.15072e-05,0.000175,0.000229,0.000236,0.000252,0.001019,exponencial
8000000,0.000242988,3.56898e-05,0.000182,0.000236,0.000238,0.000242,0.000773,exponencial
16000000,0.000257168,6.65269e-05,0.000193,0.000246,0.000249,0.000262,0.001291,exponencial
32000000,0.000269207,7.15467e-05,0.00025,0.000256,0.000259,0.00027725,0.001394,exponencial
64000000,0.000278613,6.86919e-05,0.000241,0.000265,0.000269,0.000286,0.001355,exponencial
128000000,0.000327117,0.000679611,0.000239,0.000275,0.000278,0.00029425,0.011156,exponencial
256000000,0.000307211,0.000207284,0.00028,0.000285,0.000288,0.000305,0.003604,exponencial
512000000,0.000356043,0.000859966,0.000286,0.000294,0.000296,0.0003045,0.01406,exponencial
1024000000,0.000324742,0.000165529,0.000296,0.000304,0.000307,0.000327,0.002951,exponencial
