n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Búsqueda
1000000,0.000197301,3.93621e-05,0.000184,0.000191,0.000193,0.000195,0.000805,binaria
2000000,0.000210855,3.51022e-05,0.000164,0.0002,0.000202,0.000206,0.000698,binaria
4000000,0.000145848,3.43327e-05,0.00011,0.000137,0.000138,0.000154,0.000655,binaria
8000000,0.000146613,3.68594e-05,0.000123,0.000142,0.000143,0.000144,0.000722,binaria
16000000,0.000168641,5.5287e-05,0.000121,0.000152,0.0001635,0.000184,0.000956,binaria
32000000,0.00016923,3.45159e-05,0.000122,0.000153,0.000166,0.000178,0.000613,binaria
64000000,0.000164055,3.43109e-05,0.000127,0.000157,0.000159,0.000161,0.000683,binaria
128000000,0.00020491,0.000634901,0.000149,0.000163,0.000164,0.000166,0.010323,binaria
256000000,0.000222313,0.00074588,0.000138,0.000168,0.00017,0.00018,0.012108,binaria
512000000,0.000227684,0.000756444,0.00016,0.000174,0.000176,0.000179,0.012282,binaria
1024000000,0.000232105,0.00055174,0.000151,0.000188,0.0001955,0.00020725,0.009022,binaria
1000000,2.37266e-05,7.04408e-06,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000122,secuencial
2000000,2.525e-05,1.55725e-05,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000257,secuencial
4000000,2.45703e-05,2.3803e-05,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000399,secuencial
8000000,2.53437e-05,8.3731e-06,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000114,secuencial
16000000,2.43945e-05,2.69184e-05,2e-05,2.1e-05,2.2e-05,2.2e-05,0.000445,secuencial
32000000,2.46172e-05,1.15719e-05,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000191,secuencial
64000000,2.60781e-05,2.71789e-05,2e-05,2.3e-05,2.4e-05,2.4e-05,0.000454,secuencial
128000000,2.76953e-05,2.11718e-05,2e-05,2.2e-05,2.3e-05,2.5e-05,0.00034,secuencial
256000000,2.50625e-05,1.74501e-05,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000293,secuencial
512000000,2.72656e-05,4.97004e-05,2e-05,2.3e-05,2.3e-05,2.4e-05,0.000816,secuencial
1024000000,2.64141e-05,4.60612e-05,2e-05,2.2e-05,2.3e-05,2.4e-05,0.000758,secuencial
1000000,3.79258e-05,1.88075e-05,3.1e-05,3.4e-05,3.4e-05,3.6e-05,0.000309,exponencial
2000000,3.70078e-05,6.92027e-06,3.2e-05,3.5e-05,3.6e-05,3.7e-05,0.000111,exponencial
4000000,3.77344e-05,9.2943e-06,3.1e-05,3.5e-05,3.5e-05,3.7e-05,0.00012,exponencial
8000000,3.78477e-05,1.09879e-05,3.3e-05,3.5e-05,3.6e-05,3.7e-05,0.000183,exponencial
16000000,3.78594e-05,2.3593e-05,3.1e-05,3.4e-05,3.6e-05,3.7e-05,0.000407,exponencial
32000000,3.83398e-05,1.86776e-05,3.1e-05,3.4e-05,3.6e-05,3.7e-05,0.000316,exponencial
64000000,3.68203e-05,1.63544e-05,3.2e-05,3.4e-05,3.5e-05,3.7e-05,0.000293,exponencial
128000000,3.8168e-05,1.84459e-05,3.2e-05,3.4e-05,3.5e-05,3.7e-05,0.000311,exponencial
256000000,3.65195e-05,8.64006e-06,3.1e-05,3.4e-05,3.5e-05,3.6e-05,0.000131,exponencial
512000000,3.85078e-05,3.81376e-05,3.3e-05,3.4e-05,3.5e-05,3.7e-05,0.000643,exponencial
1024000000,3.96484e-05,4.96577e-05,3.2e-05,3.4e-05,3.5e-05,3.7e-05,0.000826,exponencial
