n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000000,0.00320994,0.000766032,0.00282725,0.00290916,0.00296165,0.00308951,0.00697671
2000000,0.00620958,0.000989172,0.00554119,0.00568454,0.00582401,0.00637491,0.0105564
3000000,0.00918436,0.00095831,0.00839893,0.00862542,0.00883082,0.00942009,0.0142466
4000000,0.0122334,0.00132365,0.0112681,0.0116616,0.0119864,0.0122362,0.0195087
5000000,0.0151526,0.00187407,0.0142965,0.014583,0.0148077,0.0150976,0.0292224
6000000,0.0183828,0.00188364,0.017144,0.0177069,0.0180443,0.0182712,0.0316502
7000000,0.0230868,0.00338118,0.0201674,0.0208251,0.0216028,0.025251,0.0417774
8000000,0.0291857,0.00268691,0.0276266,0.0282489,0.0285772,0.0291115,0.048057
9000000,0.0436905,0.00672972,0.0374429,0.0379699,0.0390514,0.0504446,0.0641659
10000000,0.0432761,0.00202293,0.0417316,0.0423867,0.0428783,0.0434492,0.0542156
