n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000000,0.0381838,0.00154503,0.0372382,0.0375828,0.0378678,0.0383327,0.0462334
20000000,0.0749599,0.00387221,0.0706446,0.0714248,0.0756964,0.0761036,0.0917627
30000000,0.106455,0.00429584,0.0965904,0.105649,0.106081,0.107055,0.122564
40000000,0.130191,0.00238135,0.128182,0.12935,0.129849,0.130529,0.142346
50000000,0.164516,0.00782779,0.160742,0.161471,0.162437,0.163405,0.202822
60000000,0.199186,0.00972928,0.193341,0.194781,0.197223,0.198546,0.236173
70000000,0.230684,0.00296604,0.227486,0.228816,0.229591,0.232486,0.243101
80000000,0.264246,0.00685435,0.26018,0.262015,0.262708,0.263602,0.298323
90000000,0.302724,0.00635212,0.296396,0.297912,0.302422,0.304193,0.326854
100000000,0.344315,0.0325048,0.328845,0.33057,0.332359,0.334382,0.441912
