n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,0.000322844,0.000854929,0.000128,0.000142,0.000147,0.0002075,0.005002,Binario,Peor Caso
2,0.000172469,6.6614e-05,0.000129,0.000143,0.000147,0.0001705,0.000483,Binario,Peor Caso
4,0.000210281,7.26109e-05,0.000157,0.000174,0.000188,0.0002305,0.000563,Binario,Peor Caso
8,0.000250281,9.59792e-05,0.000198,0.00020675,0.0002225,0.000264,0.00074,Binario,Peor Caso
16,0.000285125,8.15727e-05,0.000226,0.00023925,0.000265,0.0002975,0.000665,Binario,Peor Caso
32,0.000319812,8.76159e-05,0.00026,0.0002695,0.000298,0.0003395,0.00076,Binario,Peor Caso
64,0.000358688,0.000130577,0.000266,0.000301,0.0003245,0.00037425,0.001034,Binario,Peor Caso
128,0.000373219,9.71958e-05,0.000327,0.000335,0.0003395,0.00038775,0.00088,Binario,Peor Caso
256,0.000414,9.87411e-05,0.000354,0.00036675,0.0003945,0.00042625,0.000922,Binario,Peor Caso
512,0.000525531,0.000424522,0.000412,0.00042,0.0004435,0.0004825,0.002845,Binario,Peor Caso
1024,0.000620594,0.000784546,0.000437,0.0004525,0.0004705,0.0005135,0.004915,Binario,Peor Caso
2048,0.000717969,0.00111312,0.000483,0.000492,0.0005025,0.00055275,0.006814,Binario,Peor Caso
4096,0.000877531,0.00182155,0.000501,0.00052375,0.0005455,0.000595,0.010857,Binario,Peor Caso
8192,0.00119331,0.003488,0.000537,0.00055075,0.0005655,0.00060725,0.020307,Binario,Peor Caso
16384,0.00160675,0.00554306,0.000573,0.00058775,0.0006175,0.000654,0.031982,Binario,Peor Caso
32768,0.00348678,0.0160205,0.000599,0.00061675,0.0006485,0.0006745,0.09128,Binario,Peor Caso
65536,0.00558712,0.0276744,0.000634,0.00065775,0.0006915,0.0007355,0.157245,Binario,Peor Caso
131072,0.0108001,0.0570654,0.000666,0.00068,0.0006925,0.000748,0.323523,Binario,Peor Caso
262144,0.0224829,0.123066,0.000693,0.00070375,0.000712,0.000743,0.696895,Binario,Peor Caso
524288,0.0512144,0.286781,0.000409,0.000493,0.0005125,0.00053525,1.6228,Binario,Peor Caso
1,0.000218688,3.9267e-05,0.000177,0.0001925,0.000213,0.00023475,0.000391,Binario,Amortizado
2,0.000215281,2.30073e-05,0.0001885,0.000199,0.00020925,0.000223125,0.000298,Binario,Amortizado
4,0.000180938,1.54253e-05,0.000163,0.000171437,0.0001775,0.000185438,0.00024,Binario,Amortizado
8,0.000154754,1.12488e-05,0.000143,0.000148156,0.000151375,0.000158125,0.0001985,Binario,Amortizado
16,0.000143139,6.70606e-06,0.000135375,0.000138063,0.000142437,0.000145859,0.00016375,Binario,Amortizado
32,0.000143336,3.34035e-06,0.000138063,0.000141414,0.000142422,0.00014518,0.00015425,Binario,Amortizado
64,0.000153214,1.63187e-06,0.000150281,0.000151891,0.000152992,0.00015432,0.000157969,Binario,Amortizado
128,0.000166074,1.54313e-06,0.000163125,0.000164771,0.000166234,0.000167293,0.000168797,Binario,Amortizado
256,0.000182981,3.77799e-06,0.000180066,0.000181985,0.000182348,0.000182852,0.000203031,Binario,Amortizado
512,0.000212294,1.98834e-06,0.000209701,0.000211018,0.000211946,0.000213309,0.000220355,Binario,Amortizado
1024,0.000227008,2.22394e-06,0.000224588,0.000225546,0.000226295,0.000227748,0.000234746,Binario,Amortizado
2048,0.000248623,1.47936e-06,0.00024622,0.00024743,0.000248511,0.000249767,0.000251435,Binario,Amortizado
4096,0.00027443,1.92837e-06,0.000272058,0.000272874,0.000273976,0.00027545,0.000278824,Binario,Amortizado
8192,0.000299247,3.58715e-06,0.000293975,0.00029695,0.000298365,0.000301387,0.000309724,Binario,Amortizado
16384,0.00032075,1.88981e-06,0.000317251,0.000319357,0.00032061,0.000321834,0.000324493,Binario,Amortizado
32768,0.000344445,2.81468e-06,0.000341619,0.000342751,0.000343917,0.000345227,0.000356059,Binario,Amortizado
65536,0.000366774,1.89891e-06,0.000364044,0.000365713,0.0003661,0.000367456,0.000372278,Binario,Amortizado
131072,0.000390277,4.6695e-06,0.000386704,0.000388476,0.000389135,0.000390722,0.000414523,Binario,Amortizado
262144,0.000411014,1.19309e-06,0.000408856,0.000410159,0.00041093,0.000411618,0.000415123,Binario,Amortizado
524288,0.000432852,1.16937e-06,0.000431251,0.000432048,0.000432814,0.000433365,0.000436499,Binario,Amortizado
