n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,0.000966594,7.41798e-05,0.000892,0.00092275,0.0009445,0.000981,0.001278,Binomial,Peor Caso
2,0.00132072,6.82208e-05,0.001224,0.0012595,0.001307,0.00137,0.001525,Binomial,Peor Caso
4,0.00171622,7.46591e-05,0.001621,0.0016725,0.0017035,0.001745,0.001996,Binomial,Peor Caso
8,0.00210913,7.29979e-05,0.001973,0.002062,0.002114,0.0021375,0.002313,Binomial,Peor Caso
16,0.00254584,7.88417e-05,0.002363,0.0024975,0.0025465,0.0025955,0.002738,Binomial,Peor Caso
32,0.00293,0.000104228,0.002708,0.00286525,0.002912,0.00298425,0.003184,Binomial,Peor Caso
64,0.00330662,0.000124038,0.003109,0.00323975,0.0032945,0.003351,0.003726,Binomial,Peor Caso
128,0.00365056,0.000132991,0.003467,0.0035885,0.0036415,0.0036955,0.004066,Binomial,Peor Caso
256,0.00407659,8.74233e-05,0.003896,0.004027,0.0040675,0.004127,0.004271,Binomial,Peor Caso
512,0.00448362,9.88086e-05,0.004323,0.00441925,0.004475,0.00456825,0.004663,Binomial,Peor Caso
1024,0.00488394,0.000116441,0.004658,0.0048,0.0048715,0.00495975,0.005144,Binomial,Peor Caso
2048,0.00525288,0.000135261,0.005056,0.0051395,0.005246,0.0053395,0.005583,Binomial,Peor Caso
4096,0.00558684,0.00010433,0.005415,0.005516,0.0055865,0.00565075,0.005838,Binomial,Peor Caso
8192,0.006011,0.000132359,0.005775,0.0059275,0.005985,0.006108,0.006328,Binomial,Peor Caso
16384,0.00637556,0.000205104,0.006117,0.0062735,0.0063505,0.00640275,0.007325,Binomial,Peor Caso
32768,0.00678459,0.000385495,0.0064,0.00662625,0.0067385,0.00687925,0.0087,Binomial,Peor Caso
65536,0.00727847,0.000684155,0.006903,0.007052,0.0071605,0.007272,0.010959,Binomial,Peor Caso
131072,0.00760553,0.000578068,0.007245,0.007413,0.0074805,0.0076135,0.010685,Binomial,Peor Caso
262144,0.00799681,0.000838765,0.007604,0.00774775,0.007844,0.007976,0.012516,Binomial,Peor Caso
524288,0.00845522,0.000717091,0.007945,0.008174,0.0083315,0.00850475,0.012194,Binomial,Peor Caso
1,0.000961906,7.72876e-05,0.000884,0.00091275,0.000944,0.00097625,0.001215,Binomial,Amortizado
2,0.00108356,4.1563e-05,0.001032,0.00105575,0.0010755,0.0011005,0.00123,Binomial,Amortizado
4,0.00133904,3.90295e-05,0.00128925,0.00131194,0.00133313,0.00135794,0.001464,Binomial,Amortizado
8,0.00165063,2.98837e-05,0.00161338,0.00162763,0.00164412,0.00166694,0.00173012,Binomial,Amortizado
16,0.00198464,6.88696e-05,0.00193406,0.00195106,0.00197222,0.00199839,0.00233519,Binomial,Amortizado
32,0.00231766,3.25426e-05,0.00227116,0.0022913,0.00231413,0.00233882,0.00242641,Binomial,Amortizado
64,0.00266338,3.87271e-05,0.00261608,0.00263519,0.00265445,0.00268459,0.00278945,Binomial,Amortizado
128,0.00299827,2.24179e-05,0.00294532,0.00298277,0.00299871,0.00301754,0.00303848,Binomial,Amortizado
256,0.003314,2.58637e-05,0.00326916,0.0033031,0.00331197,0.00333371,0.0033722,Binomial,Amortizado
512,0.00365386,1.90801e-05,0.0035956,0.00364518,0.00365976,0.00366645,0.00367414,Binomial,Amortizado
1024,0.00398281,1.73806e-05,0.00393036,0.00397801,0.00398887,0.00399424,0.00400034,Binomial,Amortizado
2048,0.00430267,3.6712e-05,0.0042783,0.0042882,0.00429558,0.00430283,0.00449437,Binomial,Amortizado
4096,0.00461598,1.08704e-05,0.00458557,0.00460962,0.00461615,0.0046267,0.00463116,Binomial,Amortizado
8192,0.00493741,9.59433e-06,0.00492647,0.00493065,0.00493555,0.00494054,0.00497315,Binomial,Amortizado
16384,0.00526624,1.97532e-05,0.00524741,0.00525665,0.00525924,0.00526294,0.00532547,Binomial,Amortizado
32768,0.00559482,2.15545e-05,0.00557851,0.00558145,0.00558523,0.0056073,0.00568546,Binomial,Amortizado
65536,0.00591595,1.01136e-05,0.00590286,0.005908,0.00591138,0.00592569,0.00593756,Binomial,Amortizado
131072,0.00624485,1.17839e-05,0.00622062,0.0062393,0.00624381,0.00625122,0.00627268,Binomial,Amortizado
262144,0.00657316,1.20289e-05,0.0065545,0.00656439,0.00657057,0.00658184,0.00660201,Binomial,Amortizado
524288,0.00690931,7.51135e-06,0.0068947,0.00690565,0.00690855,0.00691314,0.00692382,Binomial,Amortizado
