n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,0.000158,0.000600613,4.5e-05,4.9e-05,5e-05,5.1e-05,0.003449,Fibonacci,Peor Caso
2,9.46875e-05,4.06864e-05,7.8e-05,8.275e-05,8.4e-05,8.5e-05,0.000304,Fibonacci,Peor Caso
4,9.975e-05,3.18241e-05,8.4e-05,8.875e-05,8.95e-05,9.1e-05,0.000249,Fibonacci,Peor Caso
8,0.000119094,7.13417e-05,9.2e-05,9.475e-05,9.7e-05,0.00010425,0.000484,Fibonacci,Peor Caso
16,0.000133313,0.000101495,0.0001,0.00010375,0.000105,0.00012675,0.000674,Fibonacci,Peor Caso
32,0.000156875,0.000155034,0.000103,0.000115,0.000117,0.00013675,0.000991,Fibonacci,Peor Caso
64,0.000192625,0.000329575,0.000107,0.00012375,0.000127,0.00013325,0.001995,Fibonacci,Peor Caso
128,0.000246187,0.000581558,0.000132,0.000138,0.00014,0.000141,0.003432,Fibonacci,Peor Caso
256,0.000358625,0.0011387,0.000143,0.000148,0.0001505,0.00015325,0.006598,Fibonacci,Peor Caso
512,0.000582688,0.00225176,0.000162,0.00016975,0.000173,0.000208,0.012922,Fibonacci,Peor Caso
1024,0.00101041,0.00463403,0.000169,0.000177,0.00018,0.00020675,0.026405,Fibonacci,Peor Caso
2048,0.00187309,0.00944512,0.000181,0.000187,0.0001955,0.0002225,0.053633,Fibonacci,Peor Caso
4096,0.00354791,0.0188337,0.000194,0.000209,0.000213,0.00022975,0.106758,Fibonacci,Peor Caso
8192,0.00685778,0.0374566,0.000218,0.000224,0.0002295,0.000247,0.212123,Fibonacci,Peor Caso
16384,0.0138929,0.0771447,0.000236,0.000242,0.0002475,0.0002715,0.436652,Fibonacci,Peor Caso
32768,0.0275965,0.154375,0.000273,0.00028975,0.0003015,0.000319,0.873586,Fibonacci,Peor Caso
65536,0.0550388,0.309622,0.000287,0.00029275,0.0002985,0.00031425,1.75179,Fibonacci,Peor Caso
131072,0.114872,0.647906,0.000317,0.00032,0.0003315,0.00033725,3.66545,Fibonacci,Peor Caso
262144,0.244232,1.37957,0.000334,0.000341,0.000346,0.00035775,7.80439,Fibonacci,Peor Caso
524288,0.335938,1.89892,0.000231,0.000236,0.000244,0.000263,10.7422,Fibonacci,Peor Caso
1,4.45e-05,5.27441e-05,3.2e-05,3.3e-05,3.4e-05,3.5e-05,0.000332,Fibonacci,Amortizado
2,6.27344e-05,7.91852e-05,4.5e-05,4.65e-05,4.75e-05,4.8125e-05,0.000496,Fibonacci,Amortizado
4,4.78438e-05,1.18755e-05,3.95e-05,4.19375e-05,4.325e-05,5.125e-05,0.00010175,Fibonacci,Amortizado
8,6.29023e-05,9.10328e-06,5.1875e-05,5.73438e-05,6.20625e-05,6.62812e-05,0.000101625,Fibonacci,Amortizado
16,6.08945e-05,1.02938e-05,5.45625e-05,5.63281e-05,5.8625e-05,6.08906e-05,0.000108125,Fibonacci,Amortizado
32,6.30625e-05,5.73741e-06,5.8e-05,6.06484e-05,6.20156e-05,6.37109e-05,9.04688e-05,Fibonacci,Amortizado
64,6.54639e-05,2.91304e-06,6.30625e-05,6.40508e-05,6.48203e-05,6.59063e-05,7.89219e-05,Fibonacci,Amortizado
128,6.78547e-05,1.89198e-06,6.57969e-05,6.72305e-05,6.75078e-05,6.78496e-05,7.76094e-05,Fibonacci,Amortizado
256,7.03049e-05,1.03261e-06,6.93125e-05,6.98701e-05,7.01055e-05,7.03779e-05,7.5293e-05,Fibonacci,Amortizado
512,7.4121e-05,1.84224e-06,7.30762e-05,7.3439e-05,7.37227e-05,7.41694e-05,8.3709e-05,Fibonacci,Amortizado
1024,7.70914e-05,9.32534e-07,7.6334e-05,7.67246e-05,7.68823e-05,7.71426e-05,8.18096e-05,Fibonacci,Amortizado
2048,8.06513e-05,6.34463e-07,7.99067e-05,8.0136e-05,8.05667e-05,8.09308e-05,8.2626e-05,Fibonacci,Amortizado
4096,8.41369e-05,5.23963e-07,8.34531e-05,8.36785e-05,8.41492e-05,8.44138e-05,8.55884e-05,Fibonacci,Amortizado
8192,8.74546e-05,4.94039e-07,8.66394e-05,8.69941e-05,8.7517e-05,8.78076e-05,8.85792e-05,Fibonacci,Amortizado
16384,9.37215e-05,2.83666e-07,9.32639e-05,9.35292e-05,9.36793e-05,9.38558e-05,9.47399e-05,Fibonacci,Amortizado
32768,0.000100642,1.06112e-06,9.93227e-05,9.97544e-05,0.000100629,0.000101165,0.000104527,Fibonacci,Amortizado
65536,0.000115422,3.03003e-06,0.000111182,0.000112847,0.000115253,0.000117696,0.00012176,Fibonacci,Amortizado
131072,0.000130235,5.46158e-06,0.000123925,0.000125145,0.000129928,0.000135349,0.000139254,Fibonacci,Amortizado
262144,0.000136348,3.21579e-06,0.000132366,0.000133449,0.000137139,0.000138537,0.000146415,Fibonacci,Amortizado
524288,0.000138952,8.11598e-06,0.000130333,0.000130976,0.000138781,0.000146769,0.000148713,Fibonacci,Amortizado
