n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,5.21563e-05,1.74302e-05,3.3e-05,3.8e-05,4.95e-05,6.5e-05,0.00011,Fibonacci,Peor Caso
2,5.15938e-05,1.82807e-05,3.3e-05,3.8e-05,4.9e-05,6.5e-05,0.000123,Fibonacci,Peor Caso
4,5.01875e-05,1.54051e-05,3.4e-05,3.7e-05,4.95e-05,6.5e-05,9e-05,Fibonacci,Peor Caso
8,4.3875e-05,1.13869e-05,3.4e-05,3.6e-05,3.7e-05,5.125e-05,7e-05,Fibonacci,Peor Caso
16,4.84375e-05,1.60079e-05,3.4e-05,3.6e-05,3.9e-05,6.125e-05,0.000104,Fibonacci,Peor Caso
32,5.04062e-05,1.50523e-05,3.2e-05,3.7e-05,4.95e-05,6.425e-05,9.5e-05,Fibonacci,Peor Caso
64,4.79063e-05,1.4095e-05,3.2e-05,4e-05,4.15e-05,5.325e-05,9.6e-05,Fibonacci,Peor Caso
128,4.88125e-05,1.42114e-05,3.1e-05,3.975e-05,4.3e-05,5.85e-05,8.6e-05,Fibonacci,Peor Caso
256,4.8875e-05,1.57721e-05,3.3e-05,3.8e-05,4.15e-05,5.425e-05,0.000106,Fibonacci,Peor Caso
512,5.01875e-05,1.5359e-05,3.2e-05,3.775e-05,4.6e-05,6.225e-05,9.9e-05,Fibonacci,Peor Caso
1024,4.82188e-05,1.39925e-05,3.5e-05,3.875e-05,4.2e-05,5.275e-05,9e-05,Fibonacci,Peor Caso
2048,4.72188e-05,1.27854e-05,3.4e-05,3.775e-05,3.95e-05,6.125e-05,7e-05,Fibonacci,Peor Caso
4096,4.46875e-05,1.19013e-05,3.4e-05,3.6e-05,4.15e-05,4.425e-05,7.1e-05,Fibonacci,Peor Caso
8192,4.3625e-05,1.43656e-05,3.5e-05,3.9e-05,4e-05,4.1e-05,0.000115,Fibonacci,Peor Caso
16384,4.90625e-05,1.71482e-05,3e-05,3.5e-05,4.3e-05,6.05e-05,0.000104,Fibonacci,Peor Caso
32768,5.9e-05,5.52496e-05,3.3e-05,3.8e-05,4.05e-05,6.55e-05,0.000347,Fibonacci,Peor Caso
65536,5.49688e-05,2.20724e-05,3.2e-05,3.9e-05,5.1e-05,6.4e-05,0.000148,Fibonacci,Peor Caso
131072,5.15938e-05,3.20321e-05,3.2e-05,3.6e-05,4.35e-05,5.975e-05,0.000216,Fibonacci,Peor Caso
262144,5.46563e-05,3.40783e-05,3.3e-05,3.95e-05,4.15e-05,6.45e-05,0.000226,Fibonacci,Peor Caso
524288,5.19375e-05,2.14295e-05,3.3e-05,3.6e-05,4.6e-05,6.325e-05,0.000126,Fibonacci,Peor Caso
1,3.9125e-05,2.54695e-05,3.1e-05,3.2e-05,3.3e-05,3.4e-05,0.000174,Fibonacci,Amortizado
2,3.42187e-05,9.99914e-06,2.5e-05,2.6e-05,3.275e-05,4.15e-05,6.4e-05,Fibonacci,Amortizado
4,2.87187e-05,5.94489e-06,2.1e-05,2.46875e-05,2.9e-05,3.05e-05,4.625e-05,Fibonacci,Amortizado
8,3.05117e-05,3.81644e-05,1.8625e-05,2.14375e-05,2.4125e-05,2.61875e-05,0.000238875,Fibonacci,Amortizado
16,2.62617e-05,8.29265e-06,2.13125e-05,2.32031e-05,2.47188e-05,2.59844e-05,6.8875e-05,Fibonacci,Amortizado
32,2.12959e-05,3.56156e-06,1.93437e-05,1.98984e-05,2.05156e-05,2.1125e-05,3.99062e-05,Fibonacci,Amortizado
64,2.01001e-05,1.60839e-06,1.86875e-05,1.93008e-05,1.97031e-05,2.03398e-05,2.77813e-05,Fibonacci,Amortizado
128,2.00349e-05,1.53481e-06,1.90937e-05,1.94297e-05,1.97617e-05,2.0123e-05,2.81562e-05,Fibonacci,Amortizado
256,2.01281e-05,3.24634e-06,1.89688e-05,1.91777e-05,1.93945e-05,1.96338e-05,3.65117e-05,Fibonacci,Amortizado
512,1.94747e-05,1.38828e-06,1.87832e-05,1.91157e-05,1.92734e-05,1.93965e-05,2.70195e-05,Fibonacci,Amortizado
1024,2.07816e-05,2.66948e-06,1.98457e-05,2.02053e-05,2.02959e-05,2.04548e-05,3.53613e-05,Fibonacci,Amortizado
2048,2.02898e-05,2.21867e-06,1.95093e-05,1.97948e-05,1.99062e-05,1.99774e-05,3.24141e-05,Fibonacci,Amortizado
4096,2.04722e-05,1.16848e-06,1.99343e-05,2.01707e-05,2.02799e-05,2.03926e-05,2.6824e-05,Fibonacci,Amortizado
8192,2.03046e-05,1.00746e-06,1.99132e-05,2.00211e-05,2.01161e-05,2.0256e-05,2.57806e-05,Fibonacci,Amortizado
16384,2.0432e-05,8.02599e-07,1.97453e-05,2.01718e-05,2.02611e-05,2.0484e-05,2.46733e-05,Fibonacci,Amortizado
32768,2.19696e-05,2.22968e-06,2.02313e-05,2.14214e-05,2.16021e-05,2.17912e-05,3.38566e-05,Fibonacci,Amortizado
65536,2.345e-05,2.58115e-06,2.05289e-05,2.2515e-05,2.30195e-05,2.35409e-05,3.63256e-05,Fibonacci,Amortizado
131072,3.09466e-05,6.3057e-06,2.09336e-05,2.94953e-05,3.05009e-05,3.19436e-05,6.04443e-05,Fibonacci,Amortizado
262144,3.80022e-05,6.13301e-06,2.15387e-05,3.70452e-05,3.87292e-05,4.11467e-05,4.85536e-05,Fibonacci,Amortizado
524288,3.9151e-05,6.36813e-06,2.15983e-05,3.92743e-05,4.01246e-05,4.32134e-05,4.92722e-05,Fibonacci,Amortizado
