n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,0.000170437,5.65845e-05,0.000105,0.0001315,0.000157,0.000196,0.000365,Binario,Peor Caso
2,0.000262031,7.25154e-05,0.000165,0.00021675,0.000251,0.00030325,0.000488,Binario,Peor Caso
4,0.000300187,5.85207e-05,0.000216,0.0002445,0.0002985,0.00032525,0.000501,Binario,Peor Caso
8,0.000342687,5.20474e-05,0.000269,0.0003025,0.0003375,0.00036925,0.00046,Binario,Peor Caso
16,0.000381,5.36079e-05,0.000296,0.00034,0.0003725,0.0004325,0.000499,Binario,Peor Caso
32,0.000396188,4.29467e-05,0.000331,0.00036,0.0003965,0.00041475,0.000497,Binario,Peor Caso
64,0.000444813,5.84336e-05,0.000358,0.00039475,0.00045,0.0004745,0.000596,Binario,Peor Caso
128,0.000476781,5.41871e-05,0.000398,0.00042675,0.0004735,0.0005115,0.000598,Binario,Peor Caso
256,0.000503344,4.71584e-05,0.000431,0.00046775,0.000498,0.000527,0.00061,Binario,Peor Caso
512,0.000573906,5.53932e-05,0.000481,0.00053575,0.0005685,0.0006085,0.000704,Binario,Peor Caso
1024,0.00061625,5.27838e-05,0.000534,0.00056775,0.000619,0.00065,0.000715,Binario,Peor Caso
2048,0.000660562,5.70596e-05,0.000576,0.00062375,0.0006455,0.000704,0.000775,Binario,Peor Caso
4096,0.000680219,5.46996e-05,0.000602,0.00063675,0.0006725,0.000727,0.000799,Binario,Peor Caso
8192,0.000738812,5.79752e-05,0.000661,0.0006775,0.0007605,0.00077525,0.00085,Binario,Peor Caso
16384,0.000774844,7.34487e-05,0.000688,0.0007175,0.0007635,0.00082525,0.001012,Binario,Peor Caso
32768,0.000807,5.20694e-05,0.00072,0.00076,0.0008105,0.000833,0.000915,Binario,Peor Caso
65536,0.000861,0.000100189,0.000769,0.0007975,0.000842,0.00088625,0.001308,Binario,Peor Caso
131072,0.000888938,0.000128307,0.000783,0.000834,0.0008735,0.00088525,0.001551,Binario,Peor Caso
262144,0.000988031,0.000367784,0.000845,0.0008885,0.0009195,0.000963,0.002986,Binario,Peor Caso
524288,0.000698219,0.000338487,0.00059,0.00060775,0.00063,0.00066725,0.002544,Binario,Peor Caso
1,0.0001085,3.14889e-05,7.2e-05,7.575e-05,0.000105,0.0001265,0.000178,Binario,Amortizado
2,0.000120375,1.97904e-05,9.05e-05,0.000108,0.00011675,0.0001345,0.0001765,Binario,Amortizado
4,0.000137578,1.8786e-05,0.00011175,0.000123563,0.00013575,0.000146812,0.00020375,Binario,Amortizado
8,0.000144355,1.34641e-05,0.00013225,0.000137625,0.000139187,0.000147719,0.000202375,Binario,Amortizado
16,0.00016008,1.20648e-05,0.000149687,0.000152906,0.00015825,0.000161156,0.000207938,Binario,Amortizado
32,0.000194354,6.30758e-06,0.000187594,0.000190328,0.000193594,0.000195555,0.000218719,Binario,Amortizado
64,0.000221305,5.6286e-06,0.000216094,0.000218164,0.000219727,0.000222176,0.000245578,Binario,Amortizado
128,0.000252182,4.02021e-06,0.000248297,0.000249937,0.000251316,0.000253182,0.000268266,Binario,Amortizado
256,0.000289331,4.33366e-06,0.000285824,0.000287116,0.000288236,0.000289418,0.000308961,Binario,Amortizado
512,0.000322163,2.68956e-06,0.000318453,0.000320655,0.0003213,0.000323054,0.000333186,Binario,Amortizado
1024,0.000351575,2.5096e-06,0.000348352,0.00034969,0.000351014,0.000352715,0.000357898,Binario,Amortizado
2048,0.000371239,2.46152e-06,0.000367903,0.000369529,0.000370878,0.00037188,0.000378146,Binario,Amortizado
4096,0.000394677,1.43102e-06,0.00039155,0.000393885,0.000394556,0.000395598,0.000397836,Binario,Amortizado
8192,0.000416907,1.37003e-06,0.000415098,0.000416071,0.000416504,0.000417002,0.000421066,Binario,Amortizado
16384,0.000439524,1.12816e-06,0.000437192,0.000439002,0.000439436,0.000439814,0.000443996,Binario,Amortizado
32768,0.000465305,1.85788e-05,0.00046,0.00046115,0.000461821,0.000462867,0.000566738,Binario,Amortizado
65536,0.000488097,1.16782e-06,0.000486252,0.000487202,0.00048775,0.00048894,0.000490942,Binario,Amortizado
131072,0.000512305,1.32508e-06,0.000510798,0.00051134,0.00051198,0.00051287,0.000517034,Binario,Amortizado
262144,0.000537344,8.85277e-07,0.00053586,0.000536671,0.000537058,0.00053795,0.00053938,Binario,Amortizado
524288,0.000562353,7.57828e-07,0.000561209,0.000561889,0.000562367,0.000562649,0.00056459,Binario,Amortizado
