n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Heap,Análisis
1,0.00178497,0.000319944,0.001577,0.00168075,0.001718,0.00178,0.003462,Binomial,Peor Caso
2,0.00160331,0.000101171,0.001474,0.001531,0.001591,0.001654,0.00195,Binomial,Peor Caso
4,0.00161459,8.6758e-05,0.001476,0.00155625,0.0016135,0.001645,0.001864,Binomial,Peor Caso
8,0.00160344,8.49679e-05,0.001483,0.001537,0.0015715,0.0016435,0.001807,Binomial,Peor Caso
16,0.00160328,7.7742e-05,0.001485,0.001563,0.0015995,0.0016385,0.001905,Binomial,Peor Caso
32,0.00164362,0.000125637,0.001486,0.00155475,0.001631,0.00168225,0.00207,Binomial,Peor Caso
64,0.00159069,7.49479e-05,0.001476,0.001523,0.0015845,0.0016435,0.00181,Binomial,Peor Caso
128,0.00160338,7.01178e-05,0.001497,0.00154,0.001607,0.00164975,0.001751,Binomial,Peor Caso
256,0.00163547,0.000258158,0.001492,0.00154725,0.0015855,0.0016305,0.002994,Binomial,Peor Caso
512,0.00164122,0.000232463,0.001466,0.00152,0.0016055,0.00167125,0.00282,Binomial,Peor Caso
1024,0.00164819,0.000331716,0.001486,0.00154575,0.0015885,0.00164075,0.003436,Binomial,Peor Caso
2048,0.00161047,7.58458e-05,0.001504,0.001559,0.001599,0.001652,0.00186,Binomial,Peor Caso
4096,0.00163822,0.00022519,0.001486,0.00155275,0.0015905,0.0016435,0.002816,Binomial,Peor Caso
8192,0.00160706,8.59073e-05,0.0015,0.00155075,0.0015755,0.001663,0.001799,Binomial,Peor Caso
16384,0.00160375,0.000231416,0.001451,0.001505,0.0015555,0.00162075,0.002813,Binomial,Peor Caso
32768,0.00159944,0.000109805,0.001428,0.00154375,0.001588,0.0016435,0.002037,Binomial,Peor Caso
65536,0.00162578,0.000272862,0.001436,0.00149525,0.001576,0.00161425,0.00297,Binomial,Peor Caso
131072,0.00158347,7.53255e-05,0.001444,0.0015395,0.001584,0.001629,0.001768,Binomial,Peor Caso
262144,0.00163881,0.00031658,0.001461,0.00153025,0.001558,0.00162975,0.003222,Binomial,Peor Caso
524288,0.00156253,9.37705e-05,0.001436,0.0014865,0.0015675,0.001599,0.001906,Binomial,Peor Caso
1,0.0010355,0.000378527,0.000862,0.000897,0.000946,0.0010385,0.003,Binomial,Amortizado
2,0.00139398,0.000472924,0.0012225,0.00126025,0.00129625,0.00134525,0.0039585,Binomial,Amortizado
4,0.00167404,0.000211071,0.00153025,0.00157394,0.0016225,0.0016665,0.002623,Binomial,Amortizado
8,0.00192777,6.06195e-05,0.00183738,0.00188834,0.00192238,0.00194675,0.00212175,Binomial,Amortizado
16,0.00222141,4.92223e-05,0.00215406,0.00218722,0.00222175,0.0022415,0.002377,Binomial,Amortizado
32,0.00249236,4.02863e-05,0.0024195,0.00246057,0.002486,0.002517,0.00259019,Binomial,Amortizado
64,0.00277473,3.70454e-05,0.00272494,0.00274554,0.00277446,0.00279813,0.00289684,Binomial,Amortizado
128,0.00303679,3.47581e-05,0.00297289,0.00301385,0.00304173,0.00306189,0.00311178,Binomial,Amortizado
256,0.00330205,3.94504e-05,0.00323711,0.0032686,0.0033111,0.00333925,0.00335686,Binomial,Amortizado
512,0.00356598,3.41396e-05,0.00349288,0.00354094,0.003572,0.00359327,0.00361033,Binomial,Amortizado
1024,0.00384781,1.72161e-05,0.00381857,0.00383264,0.00385309,0.00386281,0.00387201,Binomial,Amortizado
2048,0.0041029,1.8479e-05,0.00406511,0.00408704,0.00410476,0.00411513,0.00413012,Binomial,Amortizado
4096,0.00436554,2.36179e-05,0.00433091,0.00435453,0.00436226,0.00437479,0.00446983,Binomial,Amortizado
8192,0.00462751,1.64841e-05,0.00460538,0.00462024,0.00462666,0.00463136,0.00469733,Binomial,Amortizado
16384,0.00488443,1.23978e-05,0.0048694,0.0048776,0.0048814,0.00488859,0.00491999,Binomial,Amortizado
32768,0.00514498,1.3373e-05,0.00512766,0.00513705,0.00514074,0.00515007,0.00517866,Binomial,Amortizado
65536,0.00541234,1.18733e-05,0.00539625,0.00540257,0.00540816,0.0054207,0.00543592,Binomial,Amortizado
131072,0.00567392,1.16019e-05,0.00565023,0.00566882,0.00567409,0.00568095,0.00569434,Binomial,Amortizado
262144,0.00593459,1.26086e-05,0.0059112,0.00592636,0.00593297,0.00594306,0.00596087,Binomial,Amortizado
524288,0.00620329,1.06972e-05,0.00616781,0.00619668,0.00620271,0.0062094,0.00622351,Binomial,Amortizado
