n,total
0,0
1,72712
2,4295044048
3,4295044072
4,4295044120
5,4295044832
6,4295045600
7,4295047136
8,4295046104
9,4295050208
10,4295048152
11,4295056352
12,4295052248
13,4295068640
14,4295060440
15,4295093216
16,4295076824
17,4295076824
18,4295142368
19,4295109592
20,4295109592
21,4295240672
22,4295175128
23,4295175128
24,4295437280
25,4295306200
26,4295306200
27,4295830496
28,4295568344
29,4295568344
30,4296616928
31,4296092632
32,4296092632
33,4298189792
34,4297141208
35,4297141208
36,4301339552
37,4299242392
38,4299242392
39,4307635040
40,4303436696
41,4303436696
42,4320217952
43,4311825304
44,4311825304
45,4345383776
46,4345383776
47,4328602520
48,4395715424
49,4395715424
50,4362156952
51,4496378720
52,4496378720
53,4429265816
54,4697705312
55,4697705312
56,4563483544
57,5100358496
58,5100358496
59,4831919000
60,5905664864
61,5905664864
62,5368789912
63,7516277600
64,7516277600
65,6442531736
66,10737503072
67,10737503072
68,0
