n,total
0,0
1,4295044048
2,4295044072
3,4316016200
4,4314967616
5,4341182056
6,4336987736
7,4391606480
8,4383209792
9,4496468136
10,4479682840
11,4714576016
12,4681013504
13,5167564904
14,5100447960
15,6107093072
16,5972867264
17,4563488216
18,8053254184
19,7784810648
20,4831923040
21,4831923704
22,9126955640
23,12079790096
24,11542911104
25,5368793952
26,5368794632
27,9663794248
28,13958793864
29,16106293672
30,18253793480
31,20401293288
32,19327543384
33,6442535776
34,6442536488
35,10737519944
36,15032503400
37,19327486856
38,23622470312
39,27917453768
40,32212437224
41,36507420680
42,37581166544
43,35433674816
44,8590019424
45,8590020152
46,12884995528
47,17179970904
48,21474946280
49,23622433968
50,25769921656
51,27917409344
52,30064897032
53,32212384720
54,34359872408
55,36507360096
56,38654847784
57,40802335472
58,42949823160
59,45097310848
60,47244798536
61,49392286224
62,51539773912
63,53687261600
64,55834749288
65,57982236976
66,60129724664
67,62277212352
68,64424700040
69,66572187728
70,68719675416
71,70867163104
72,73014650792
73,73014650792
74,68719675416
