n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Estructura
1,0.000281625,0.000235519,0.000109,0.00018,0.000189,0.00021825,0.001251,Segment Tree
2,0.000534969,0.000361453,0.000177,0.00020325,0.0002775,0.0008865,0.001114,Segment Tree
4,0.0006765,0.000448087,0.000151,0.00024175,0.000761,0.00090925,0.001861,Segment Tree
8,0.000509031,0.000329382,0.000147,0.00024675,0.000325,0.0009245,0.001031,Segment Tree
16,0.000520969,0.000361811,0.000142,0.00026475,0.0003115,0.00093575,0.001278,Segment Tree
32,0.000625094,0.00040169,0.000172,0.0002935,0.00043,0.00100125,0.00163,Segment Tree
64,0.000609656,0.000355328,0.000166,0.00030775,0.000484,0.00095875,0.001261,Segment Tree
128,0.000653781,0.000410075,0.000193,0.00032175,0.0004305,0.001011,0.001377,Segment Tree
256,0.0006535,0.000406373,0.000194,0.00031675,0.0004005,0.00106275,0.001495,Segment Tree
512,0.000617719,0.000344234,0.000244,0.0003475,0.0003985,0.00102325,0.001211,Segment Tree
1024,0.000685719,0.000413778,0.000255,0.00036375,0.000456,0.00112425,0.001679,Segment Tree
2048,0.000661813,0.00038399,0.000305,0.0003725,0.000485,0.001057,0.001636,Segment Tree
4096,0.000787438,0.000405974,0.000353,0.000417,0.000547,0.00114675,0.001551,Segment Tree
8192,0.00084025,0.000369186,0.00037,0.00049975,0.0007045,0.001154,0.001488,Segment Tree
16384,0.000764187,0.000320698,0.000372,0.0004995,0.00063,0.00105725,0.001381,Segment Tree
32768,0.000874406,0.000390949,0.000419,0.00055725,0.000742,0.001175,0.001685,Segment Tree
65536,0.000849469,0.00044121,0.00039,0.00052475,0.0005725,0.00128475,0.001737,Segment Tree
131072,0.000886375,0.000370478,0.000437,0.00058075,0.0007655,0.00121125,0.001683,Segment Tree
262144,0.000953469,0.000469481,0.000411,0.00061175,0.000734,0.001263,0.001994,Segment Tree
524288,0.000914594,0.000418242,0.000477,0.00061575,0.000739,0.00131775,0.002008,Segment Tree
1048576,0.000936156,0.000449704,0.000481,0.00060675,0.0006985,0.0012885,0.002048,Segment Tree
2097152,0.000987688,0.000420142,0.000564,0.00064675,0.000803,0.0013765,0.001864,Segment Tree
4194304,0.000956281,0.000365385,0.000513,0.00072975,0.0008495,0.0010285,0.002051,Segment Tree
8388608,0.00105131,0.000408797,0.000642,0.00080475,0.000887,0.00118475,0.002306,Segment Tree
16777216,0.00114422,0.000450017,0.000632,0.00083975,0.0009605,0.001495,0.002305,Segment Tree
33554432,0.00124591,0.000618785,0.000692,0.00084525,0.000952,0.00156375,0.002848,Segment Tree
67108864,0.00113991,0.000447347,0.000608,0.000787,0.000927,0.001533,0.002134,Segment Tree
134217728,0.001034,0.000379499,0.000571,0.0007935,0.000878,0.0012015,0.001978,Segment Tree
268435456,0.00120937,0.000504145,0.000687,0.00082775,0.001029,0.00157575,0.002384,Segment Tree
536870912,0.00121044,0.000480715,0.000779,0.0008855,0.001012,0.00147725,0.002822,Segment Tree
