n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Estructura
1,0.000431156,0.000517428,0.000241,0.0002615,0.0003165,0.000391,0.00321,Segment Tree
2,0.000577563,0.000933678,0.000257,0.000324,0.0003645,0.00038325,0.005171,Segment Tree
4,0.000408875,7.59944e-05,0.000311,0.0003695,0.0003975,0.000437,0.000704,Segment Tree
8,0.000538344,0.000104959,0.000412,0.00049075,0.000526,0.00057675,0.000982,Segment Tree
16,0.000731938,8.49094e-05,0.00065,0.000669,0.000705,0.00076275,0.001004,Segment Tree
32,0.0012035,0.000110552,0.001074,0.001128,0.0011845,0.0012495,0.001631,Segment Tree
64,0.00211994,0.000132117,0.00198,0.0020465,0.0020855,0.0021755,0.002692,Segment Tree
128,0.00388803,0.000254763,0.003674,0.003773,0.003834,0.00392025,0.005139,Segment Tree
256,0.00755553,0.00115063,0.007087,0.0072585,0.007309,0.00745325,0.013797,Segment Tree
512,0.0149093,0.00118519,0.014245,0.0144358,0.014643,0.0148813,0.0211,Segment Tree
1024,0.0317227,0.00253343,0.030346,0.0308592,0.03106,0.0312793,0.043182,Segment Tree
2048,0.0664091,0.00317816,0.063546,0.065456,0.0658165,0.0662137,0.081958,Segment Tree
4096,0.143488,0.0040144,0.140059,0.141821,0.142828,0.143604,0.16314,Segment Tree
8192,0.29966,0.0101581,0.287367,0.29411,0.297154,0.298664,0.338428,Segment Tree
16384,0.590578,0.0144515,0.574559,0.584735,0.588755,0.591282,0.659108,Segment Tree
32768,1.18525,0.0268157,1.16517,1.17548,1.17813,1.18393,1.30677,Segment Tree
65536,2.36491,0.0494787,2.32229,2.34133,2.35819,2.36847,2.59008,Segment Tree
131072,4.73782,0.0936434,4.61897,4.71153,4.71905,4.73846,5.16253,Segment Tree
262144,8.63058,1.33475,6.31463,7.46928,9.37634,9.48562,10.5284,Segment Tree
524288,13.8199,2.2885,12.3346,12.507,12.5812,13.7198,18.3144,Segment Tree
1048576,25.9092,1.3737,25.0405,25.2069,25.3987,25.5777,30.2798,Segment Tree
2097152,51.0906,1.13811,50.3703,50.5746,50.788,50.898,55.1283,Segment Tree
4194304,110.692,0.345464,110.102,110.464,110.608,110.905,111.311,Segment Tree
8388608,222.98,7.95978,218.72,219.651,220.948,223.949,264.001,Segment Tree
16777216,443.438,10.2342,437.315,438.973,439.359,440.893,487.239,Segment Tree
33554432,891.775,21.9058,875.724,877.779,884.365,896.046,973.876,Segment Tree
