n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Estructura
4,7.58438e-05,2.3864e-05,4.8e-05,5.7e-05,7.05e-05,8.525e-05,0.000162,Segment Tree
8,9.16563e-05,2.92063e-05,5.2e-05,7.225e-05,8.7e-05,0.00010075,0.000158,Segment Tree
16,0.000121219,3.49079e-05,5.9e-05,9.475e-05,0.000118,0.00013425,0.000201,Segment Tree
32,0.000148344,3.45605e-05,9.2e-05,0.00012725,0.000147,0.0001645,0.000237,Segment Tree
64,0.000181187,4.71856e-05,9.5e-05,0.00015475,0.000175,0.00021275,0.000319,Segment Tree
128,0.000206031,5.79224e-05,6.7e-05,0.0001595,0.000219,0.00024425,0.000304,Segment Tree
256,0.000245156,6.35742e-05,0.00013,0.00019625,0.000251,0.000296,0.000361,Segment Tree
512,0.000254656,6.99666e-05,7.5e-05,0.00021525,0.000257,0.00030375,0.000375,Segment Tree
1024,0.000292687,4.88166e-05,0.000199,0.00025675,0.0003055,0.000326,0.000376,Segment Tree
2048,0.00033675,7.4413e-05,0.000154,0.000298,0.00034,0.00038875,0.000508,Segment Tree
4096,0.000368,5.37611e-05,0.000286,0.000333,0.000366,0.0003855,0.000506,Segment Tree
8192,0.000385531,5.48111e-05,0.000261,0.0003505,0.0003855,0.00042425,0.000493,Segment Tree
16384,0.000442844,5.78424e-05,0.000292,0.00041475,0.000437,0.000471,0.000572,Segment Tree
32768,0.000477281,7.91068e-05,0.000285,0.00042075,0.0004795,0.0005365,0.000643,Segment Tree
65536,0.000469969,8.56744e-05,0.000247,0.00041575,0.0004825,0.000531,0.000615,Segment Tree
131072,0.000518031,8.36342e-05,0.000338,0.000473,0.0005105,0.00057175,0.000801,Segment Tree
262144,0.000575125,0.000119715,0.000439,0.000511,0.0005535,0.000608,0.000962,Segment Tree
524288,0.000611281,0.000117455,0.000345,0.00052425,0.0006085,0.00065575,0.000865,Segment Tree
1048576,0.000513812,0.000143714,0.000293,0.00042325,0.000478,0.00054725,0.000935,Segment Tree
2097152,0.000529687,0.0001499,0.000367,0.0004425,0.000493,0.0005535,0.001073,Segment Tree
4194304,0.000558688,0.000105267,0.000423,0.0004815,0.000529,0.0006305,0.000812,Segment Tree
8388608,0.000599781,0.000107947,0.000379,0.00054775,0.000579,0.00064675,0.000939,Segment Tree
16777216,0.000596625,0.000142071,0.000356,0.00052125,0.0005745,0.0006365,0.001175,Segment Tree
33554432,0.00155428,0.000825411,0.000445,0.001232,0.0015095,0.0017795,0.004912,Segment Tree
67108864,0.000912594,0.000210393,0.000482,0.00077775,0.000904,0.00107475,0.001355,Segment Tree
134217728,0.000755594,0.000159139,0.000531,0.00065675,0.000725,0.00085175,0.001202,Segment Tree
268435456,0.00100247,0.000676391,0.000433,0.00072025,0.0008535,0.0010855,0.004518,Segment Tree
536870912,0.00108862,0.000694802,0.000624,0.0008105,0.0009055,0.001122,0.004604,Segment Tree
1073741824,0.000996031,0.000188431,0.000704,0.000868,0.0009765,0.00108875,0.001667,Segment Tree
