archivo_original,tamano_original_mb,tiempo_construccion_ms,tamano_estructura_mb
sources,201.098,225751,332.071
sources,201.098,221877,332.071
sources,201.098,214712,332.071
sources,201.098,214899,332.071
sources,201.098,220544,332.071
dna,385.216,529716,564.67
dna,385.216,527186,564.67
dna,385.216,528588,564.67
dna,385.216,525400,564.67
dna,385.216,525394,564.67
proteins,1129.2,1413686,1675.16
proteins,1129.2,1405901,1675.16
proteins,1129.2,1412660,1675.16
proteins,1129.2,1422365,1675.16
proteins,1129.2,1403915,1675.16
genomic.fna,3185.02,5606703,4727.33
genomic.fna,3185.02,5659339,4727.33
genomic.fna,3185.02,5706986,4727.33
genomic.fna,3185.02,5531099,4727.33
genomic.fna,3185.02,5332613,4727.33
