archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,9616,1
sources,10,1341,1
sources,10,738,1
sources,10,685,1
sources,10,603,1
sources,10,614,1
sources,10,582,1
sources,10,586,1
sources,10,584,1
sources,10,577,1
sources,10,592,1
sources,10,586,1
sources,10,598,1
sources,10,589,1
sources,10,575,1
sources,10,584,1
sources,10,608,1
sources,10,578,1
sources,10,590,1
sources,10,587,1
sources,10,630,1
sources,10,625,1
sources,10,605,1
sources,10,594,1
sources,10,593,1
sources,10,595,1
sources,10,604,1
sources,10,591,1
sources,10,590,1
sources,10,584,1
sources,10,11710,10
sources,10,1339,10
sources,10,906,10
sources,10,901,10
sources,10,846,10
sources,10,887,10
sources,10,893,10
sources,10,860,10
sources,10,846,10
sources,10,869,10
sources,10,848,10
sources,10,858,10
sources,10,879,10
sources,10,845,10
sources,10,834,10
sources,10,836,10
sources,10,879,10
sources,10,866,10
sources,10,853,10
sources,10,844,10
sources,10,856,10
sources,10,861,10
sources,10,876,10
sources,10,845,10
sources,10,851,10
sources,10,970,10
sources,10,860,10
sources,10,877,10
sources,10,889,10
sources,10,896,10
sources,10,9192,20
sources,10,1455,20
sources,10,1020,20
sources,10,974,20
sources,10,970,20
sources,10,944,20
sources,10,1002,20
sources,10,953,20
sources,10,938,20
sources,10,952,20
sources,10,956,20
sources,10,946,20
sources,10,933,20
sources,10,917,20
sources,10,951,20
sources,10,942,20
sources,10,940,20
sources,10,929,20
sources,10,959,20
sources,10,991,20
sources,10,988,20
sources,10,934,20
sources,10,935,20
sources,10,942,20
sources,10,963,20
sources,10,970,20
sources,10,941,20
sources,10,927,20
sources,10,949,20
sources,10,935,20
sources,10,8603,32
sources,10,1562,32
sources,10,1157,32
sources,10,1116,32
sources,10,1083,32
sources,10,1081,32
sources,10,1045,32
sources,10,1054,32
sources,10,1066,32
sources,10,1076,32
sources,10,1041,32
sources,10,1095,32
sources,10,1088,32
sources,10,1058,32
sources,10,1044,32
sources,10,1093,32
sources,10,1059,32
sources,10,1080,32
sources,10,1027,32
sources,10,1072,32
sources,10,1059,32
sources,10,1074,32
sources,10,1113,32
sources,10,1124,32
sources,10,1111,32
sources,10,1082,32
sources,10,1067,32
sources,10,1035,32
sources,10,1060,32
sources,10,1048,32
sources,10,6663,2
sources,10,890,2
sources,10,731,2
sources,10,707,2
sources,10,709,2
sources,10,681,2
sources,10,671,2
sources,10,660,2
sources,10,675,2
sources,10,670,2
sources,10,684,2
sources,10,664,2
sources,10,678,2
sources,10,685,2
sources,10,670,2
sources,10,668,2
sources,10,685,2
sources,10,715,2
sources,10,674,2
sources,10,664,2
sources,10,670,2
sources,10,685,2
sources,10,670,2
sources,10,701,2
sources,10,683,2
sources,10,731,2
sources,10,694,2
sources,10,677,2
sources,10,680,2
sources,10,707,2
sources,10,8010,4
sources,10,935,4
sources,10,694,4
sources,10,689,4
sources,10,667,4
sources,10,683,4
sources,10,640,4
sources,10,664,4
sources,10,650,4
sources,10,647,4
sources,10,648,4
sources,10,727,4
sources,10,677,4
sources,10,660,4
sources,10,657,4
sources,10,643,4
sources,10,650,4
sources,10,676,4
sources,10,650,4
sources,10,656,4
sources,10,656,4
sources,10,703,4
sources,10,641,4
sources,10,660,4
sources,10,676,4
sources,10,652,4
sources,10,670,4
sources,10,688,4
sources,10,720,4
sources,10,645,4
sources,10,161621,3556
sources,10,139390,3556
sources,10,132962,3556
sources,10,128665,3556
sources,10,125100,3556
sources,10,122816,3556
sources,10,120458,3556
sources,10,119033,3556
sources,10,117936,3556
sources,10,116464,3556
sources,10,115915,3556
sources,10,115037,3556
sources,10,114439,3556
sources,10,114230,3556
sources,10,113307,3556
sources,10,112925,3556
sources,10,112961,3556
sources,10,112402,3556
sources,10,112106,3556
sources,10,111773,3556
sources,10,113491,3556
sources,10,112063,3556
sources,10,115365,3556
sources,10,131088,3556
sources,10,129319,3556
sources,10,124956,3556
sources,10,121697,3556
sources,10,119413,3556
sources,10,123178,3556
sources,10,116206,3556
sources,10,12836,102
sources,10,2436,102
sources,10,1804,102
sources,10,1683,102
sources,10,1708,102
sources,10,1675,102
sources,10,1691,102
sources,10,1595,102
sources,10,1706,102
sources,10,1624,102
sources,10,1587,102
sources,10,1586,102
sources,10,1585,102
sources,10,1606,102
sources,10,1642,102
sources,10,1587,102
sources,10,1611,102
sources,10,1570,102
sources,10,1688,102
sources,10,1586,102
sources,10,1617,102
sources,10,1591,102
sources,10,1638,102
sources,10,1607,102
sources,10,1619,102
sources,10,1574,102
sources,10,1587,102
sources,10,1591,102
sources,10,1636,102
sources,10,1569,102
sources,10,8892,8
sources,10,938,8
sources,10,730,8
sources,10,699,8
sources,10,701,8
sources,10,693,8
sources,10,682,8
sources,10,744,8
sources,10,730,8
sources,10,700,8
sources,10,732,8
sources,10,699,8
sources,10,708,8
sources,10,694,8
sources,10,694,8
sources,10,687,8
sources,10,748,8
sources,10,700,8
sources,10,702,8
sources,10,692,8
sources,10,694,8
sources,10,704,8
sources,10,770,8
sources,10,698,8
sources,10,721,8
sources,10,705,8
sources,10,688,8
sources,10,701,8
sources,10,694,8
sources,10,696,8
sources,10,10973,26
sources,10,1135,26
sources,10,976,26
sources,10,883,26
sources,10,915,26
sources,10,925,26
sources,10,871,26
sources,10,903,26
sources,10,1031,26
sources,10,886,26
sources,10,921,26
sources,10,882,26
sources,10,899,26
sources,10,902,26
sources,10,958,26
sources,10,880,26
sources,10,902,26
sources,10,903,26
sources,10,928,26
sources,10,904,26
sources,10,896,26
sources,10,946,26
sources,10,950,26
sources,10,881,26
sources,10,901,26
sources,10,901,26
sources,10,889,26
sources,10,889,26
sources,10,877,26
sources,10,881,26
sources,10,11067,10
sources,10,1139,10
sources,10,919,10
sources,10,830,10
sources,10,822,10
sources,10,825,10
sources,10,807,10
sources,10,820,10
sources,10,818,10
sources,10,873,10
sources,10,803,10
sources,10,846,10
sources,10,830,10
sources,10,825,10
sources,10,834,10
sources,10,866,10
sources,10,829,10
sources,10,842,10
sources,10,808,10
sources,10,814,10
sources,10,822,10
sources,10,849,10
sources,10,804,10
sources,10,813,10
sources,10,811,10
sources,10,805,10
sources,10,820,10
sources,10,814,10
sources,10,815,10
sources,10,805,10
sources,10,17460,224
sources,10,4569,224
sources,10,3190,224
sources,10,2917,224
sources,10,2838,224
sources,10,2693,224
sources,10,2707,224
sources,10,2778,224
sources,10,2720,224
sources,10,2694,224
sources,10,2603,224
sources,10,2614,224
sources,10,2695,224
sources,10,2598,224
sources,10,2679,224
sources,10,2574,224
sources,10,2609,224
sources,10,2635,224
sources,10,2640,224
sources,10,2662,224
sources,10,2666,224
sources,10,2825,224
sources,10,2655,224
sources,10,2646,224
sources,10,2622,224
sources,10,2629,224
sources,10,2810,224
sources,10,2672,224
sources,10,2646,224
sources,10,2608,224
sources,10,8616,3
sources,10,927,3
sources,10,751,3
sources,10,775,3
sources,10,747,3
sources,10,753,3
sources,10,757,3
sources,10,763,3
sources,10,812,3
sources,10,793,3
sources,10,758,3
sources,10,742,3
sources,10,747,3
sources,10,758,3
sources,10,744,3
sources,10,786,3
sources,10,739,3
sources,10,745,3
sources,10,752,3
sources,10,759,3
sources,10,754,3
sources,10,744,3
sources,10,789,3
sources,10,761,3
sources,10,769,3
sources,10,790,3
sources,10,750,3
sources,10,738,3
sources,10,747,3
sources,10,759,3
sources,10,123921882,1679558
sources,10,120621433,1679558
sources,10,113633843,1679558
sources,10,114717939,1679558
sources,10,113350576,1679558
sources,10,127091936,1679558
sources,10,115710627,1679558
sources,10,113658955,1679558
sources,10,114461828,1679558
sources,10,113746685,1679558
sources,10,116148264,1679558
sources,10,114390746,1679558
sources,10,113875098,1679558
sources,10,114658877,1679558
sources,10,114933732,1679558
sources,10,113734058,1679558
sources,10,113573058,1679558
sources,10,113713170,1679558
sources,10,114293265,1679558
sources,10,113768198,1679558
sources,10,113557943,1679558
sources,10,113919011,1679558
sources,10,113516263,1679558
sources,10,114128867,1679558
sources,10,114183626,1679558
sources,10,114149844,1679558
sources,10,113717189,1679558
sources,10,113721756,1679558
