archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,9263,1
sources,10,1095,1
sources,10,537,1
sources,10,500,1
sources,10,419,1
sources,10,433,1
sources,10,393,1
sources,10,385,1
sources,10,381,1
sources,10,385,1
sources,10,411,1
sources,10,394,1
sources,10,420,1
sources,10,400,1
sources,10,392,1
sources,10,450,1
sources,10,394,1
sources,10,389,1
sources,10,426,1
sources,10,392,1
sources,10,385,1
sources,10,395,1
sources,10,385,1
sources,10,439,1
sources,10,394,1
sources,10,385,1
sources,10,413,1
sources,10,391,1
sources,10,391,1
sources,10,387,1
sources,10,11874,10
sources,10,1397,10
sources,10,937,10
sources,10,809,10
sources,10,825,10
sources,10,845,10
sources,10,826,10
sources,10,817,10
sources,10,899,10
sources,10,836,10
sources,10,835,10
sources,10,863,10
sources,10,851,10
sources,10,831,10
sources,10,853,10
sources,10,869,10
sources,10,839,10
sources,10,836,10
sources,10,858,10
sources,10,827,10
sources,10,831,10
sources,10,871,10
sources,10,847,10
sources,10,869,10
sources,10,845,10
sources,10,844,10
sources,10,865,10
sources,10,853,10
sources,10,878,10
sources,10,867,10
sources,10,8561,20
sources,10,1337,20
sources,10,1140,20
sources,10,1052,20
sources,10,1040,20
sources,10,995,20
sources,10,960,20
sources,10,960,20
sources,10,1006,20
sources,10,1001,20
sources,10,980,20
sources,10,1009,20
sources,10,1050,20
sources,10,999,20
sources,10,1011,20
sources,10,1058,20
sources,10,1001,20
sources,10,958,20
sources,10,1016,20
sources,10,992,20
sources,10,1028,20
sources,10,982,20
sources,10,952,20
sources,10,995,20
sources,10,984,20
sources,10,989,20
sources,10,1037,20
sources,10,969,20
sources,10,1030,20
sources,10,977,20
sources,10,11017,32
sources,10,1647,32
sources,10,1467,32
sources,10,1394,32
sources,10,1377,32
sources,10,1335,32
sources,10,1384,32
sources,10,1350,32
sources,10,1382,32
sources,10,1359,32
sources,10,1372,32
sources,10,1362,32
sources,10,1394,32
sources,10,1352,32
sources,10,1351,32
sources,10,1369,32
sources,10,1354,32
sources,10,1375,32
sources,10,1346,32
sources,10,1351,32
sources,10,1412,32
sources,10,1346,32
sources,10,1384,32
sources,10,1348,32
sources,10,1384,32
sources,10,1382,32
sources,10,1346,32
sources,10,1376,32
sources,10,1369,32
sources,10,1351,32
sources,10,7572,2
sources,10,658,2
sources,10,549,2
sources,10,584,2
sources,10,517,2
sources,10,495,2
sources,10,494,2
sources,10,516,2
sources,10,523,2
sources,10,516,2
sources,10,491,2
sources,10,492,2
sources,10,542,2
sources,10,514,2
sources,10,499,2
sources,10,496,2
sources,10,496,2
sources,10,536,2
sources,10,518,2
sources,10,522,2
sources,10,507,2
sources,10,525,2
sources,10,497,2
sources,10,491,2
sources,10,542,2
sources,10,492,2
sources,10,540,2
sources,10,501,2
sources,10,491,2
sources,10,546,2
sources,10,6172,4
sources,10,703,4
sources,10,531,4
sources,10,485,4
sources,10,496,4
sources,10,521,4
sources,10,500,4
sources,10,493,4
sources,10,531,4
sources,10,548,4
sources,10,496,4
sources,10,570,4
sources,10,509,4
sources,10,495,4
sources,10,552,4
sources,10,490,4
sources,10,536,4
sources,10,497,4
sources,10,516,4
sources,10,529,4
sources,10,491,4
sources,10,543,4
sources,10,524,4
sources,10,495,4
sources,10,537,4
sources,10,513,4
sources,10,513,4
sources,10,508,4
sources,10,556,4
sources,10,511,4
sources,10,573480,3556
sources,10,218140,3556
sources,10,209287,3556
sources,10,203961,3556
sources,10,201085,3556
sources,10,198548,3556
sources,10,196589,3556
sources,10,207981,3556
sources,10,196606,3556
sources,10,203902,3556
sources,10,202909,3556
sources,10,197903,3556
sources,10,193980,3556
sources,10,191668,3556
sources,10,189964,3556
sources,10,187605,3556
sources,10,187333,3556
sources,10,185783,3556
sources,10,184954,3556
sources,10,184363,3556
sources,10,183713,3556
sources,10,182949,3556
sources,10,182993,3556
sources,10,182804,3556
sources,10,181928,3556
sources,10,181655,3556
sources,10,181520,3556
sources,10,181077,3556
sources,10,185673,3556
sources,10,181895,3556
sources,10,19634,102
sources,10,4120,102
sources,10,3542,102
sources,10,3220,102
sources,10,3140,102
sources,10,3138,102
sources,10,3140,102
sources,10,3197,102
sources,10,3164,102
sources,10,3150,102
sources,10,3125,102
sources,10,3098,102
sources,10,3109,102
sources,10,3128,102
sources,10,3125,102
sources,10,3114,102
sources,10,3133,102
sources,10,3108,102
sources,10,3093,102
sources,10,3150,102
sources,10,3102,102
sources,10,3053,102
sources,10,3113,102
sources,10,3091,102
sources,10,3160,102
sources,10,3135,102
sources,10,3162,102
sources,10,3120,102
sources,10,3175,102
sources,10,3122,102
sources,10,5881,8
sources,10,852,8
sources,10,613,8
sources,10,643,8
sources,10,650,8
sources,10,597,8
sources,10,608,8
sources,10,657,8
sources,10,618,8
sources,10,600,8
sources,10,619,8
sources,10,589,8
sources,10,592,8
sources,10,594,8
sources,10,628,8
sources,10,596,8
sources,10,591,8
sources,10,593,8
sources,10,587,8
sources,10,654,8
sources,10,607,8
sources,10,622,8
sources,10,609,8
sources,10,628,8
sources,10,635,8
sources,10,591,8
sources,10,603,8
sources,10,653,8
sources,10,612,8
sources,10,583,8
sources,10,9001,26
sources,10,1331,26
sources,10,1182,26
sources,10,1150,26
sources,10,1181,26
sources,10,1134,26
sources,10,1182,26
sources,10,1160,26
sources,10,1196,26
sources,10,1164,26
sources,10,1158,26
sources,10,1167,26
sources,10,1185,26
sources,10,1167,26
sources,10,1172,26
sources,10,1152,26
sources,10,1193,26
sources,10,1189,26
sources,10,1168,26
sources,10,1164,26
sources,10,1218,26
sources,10,1240,26
sources,10,1217,26
sources,10,1147,26
sources,10,1127,26
sources,10,1183,26
sources,10,1186,26
sources,10,1232,26
sources,10,1177,26
sources,10,1124,26
sources,10,8036,10
sources,10,786,10
sources,10,767,10
sources,10,700,10
sources,10,701,10
sources,10,694,10
sources,10,703,10
sources,10,732,10
sources,10,705,10
sources,10,695,10
sources,10,745,10
sources,10,706,10
sources,10,734,10
sources,10,710,10
sources,10,746,10
sources,10,720,10
sources,10,745,10
sources,10,702,10
sources,10,745,10
sources,10,702,10
sources,10,699,10
sources,10,696,10
sources,10,696,10
sources,10,729,10
sources,10,711,10
sources,10,736,10
sources,10,726,10
sources,10,705,10
sources,10,697,10
sources,10,752,10
sources,10,31949,224
sources,10,7923,224
sources,10,6866,224
sources,10,6512,224
sources,10,6454,224
sources,10,6408,224
sources,10,6470,224
sources,10,6437,224
sources,10,6477,224
sources,10,6453,224
sources,10,6337,224
sources,10,6404,224
sources,10,6447,224
sources,10,6439,224
sources,10,6495,224
sources,10,6414,224
sources,10,6504,224
sources,10,6452,224
sources,10,6406,224
sources,10,6334,224
sources,10,6493,224
sources,10,6495,224
sources,10,6429,224
sources,10,6393,224
sources,10,6462,224
sources,10,6349,224
sources,10,6440,224
sources,10,6522,224
sources,10,6413,224
sources,10,6389,224
sources,10,5294,3
sources,10,656,3
sources,10,542,3
sources,10,556,3
sources,10,551,3
sources,10,534,3
sources,10,528,3
sources,10,560,3
sources,10,555,3
sources,10,541,3
sources,10,523,3
sources,10,559,3
sources,10,558,3
sources,10,553,3
sources,10,532,3
sources,10,532,3
sources,10,536,3
sources,10,529,3
sources,10,563,3
sources,10,571,3
sources,10,526,3
sources,10,536,3
sources,10,529,3
sources,10,562,3
sources,10,535,3
sources,10,577,3
sources,10,536,3
sources,10,534,3
sources,10,592,3
sources,10,537,3
sources,10,211678302,1679558
sources,10,210595328,1679558
sources,10,203440402,1679558
sources,10,200020349,1679558
sources,10,195302712,1679558
sources,10,198665057,1679558
sources,10,199683245,1679558
sources,10,196932598,1679558
sources,10,197177978,1679558
sources,10,195631393,1679558
sources,10,196676246,1679558
sources,10,196666822,1679558
sources,10,194970573,1679558
sources,10,197357852,1679558
sources,10,196468452,1679558
sources,10,196038786,1679558
sources,10,195650392,1679558
sources,10,195864439,1679558
sources,10,196679638,1679558
sources,10,196866959,1679558
sources,10,196634918,1679558
sources,10,197723128,1679558
sources,10,195976957,1679558
sources,10,195475053,1679558
sources,10,195845019,1679558
sources,10,203610711,1679558
sources,10,203590599,1679558
sources,10,202081044,1679558
sources,10,203132896,1679558
sources,10,203673086,1679558
sources,10,20803,8
sources,10,1128,8
sources,10,889,8
sources,10,796,8
sources,10,714,8
sources,10,705,8
sources,10,718,8
sources,10,760,8
sources,10,737,8
sources,10,778,8
sources,10,747,8
sources,10,713,8
sources,10,715,8
sources,10,758,8
sources,10,731,8
sources,10,771,8
sources,10,773,8
sources,10,743,8
sources,10,724,8
sources,10,730,8
sources,10,723,8
sources,10,735,8
sources,10,720,8
sources,10,709,8
sources,10,747,8
sources,10,768,8
sources,10,708,8
sources,10,712,8
sources,10,701,8
sources,10,758,8
sources,10,16967,39
sources,10,1982,39
sources,10,1464,39
sources,10,1529,39
sources,10,1474,39
sources,10,1497,39
sources,10,1508,39
sources,10,1491,39
sources,10,1501,39
sources,10,1473,39
sources,10,1512,39
sources,10,1490,39
sources,10,1543,39
sources,10,1543,39
sources,10,1462,39
sources,10,1510,39
sources,10,1509,39
sources,10,1489,39
sources,10,1503,39
sources,10,1538,39
sources,10,1505,39
sources,10,1516,39
sources,10,1503,39
sources,10,1532,39
sources,10,1525,39
sources,10,1494,39
sources,10,1474,39
sources,10,1487,39
sources,10,1552,39
sources,10,1585,39
sources,10,202949998,1679558
sources,10,203420022,1679558
sources,10,203273758,1679558
sources,10,203033428,1679558
sources,10,203516679,1679558
sources,10,203803898,1679558
sources,10,202859480,1679558
sources,10,202045997,1679558
sources,10,204772076,1679558
sources,10,202277456,1679558
sources,10,203715922,1679558
sources,10,203692400,1679558
sources,10,203998934,1679558
sources,10,203548826,1679558
sources,10,203152185,1679558
sources,10,203659964,1679558
sources,10,203763860,1679558
sources,10,203423004,1679558
sources,10,204378168,1679558
sources,10,203762468,1679558
sources,10,202810388,1679558
sources,10,203157381,1679558
sources,10,205079479,1679558
sources,10,203507191,1679558
sources,10,203405398,1679558
sources,10,202618889,1679558
sources,10,202735076,1679558
sources,10,203677159,1679558
sources,10,202278445,1679558
sources,10,203291057,1679558
sources,10,32879,106
sources,10,4385,106
sources,10,3663,106
sources,10,3388,106
sources,10,3319,106
sources,10,3335,106
sources,10,3345,106
sources,10,3340,106
sources,10,3331,106
sources,10,3322,106
sources,10,3332,106
sources,10,3359,106
sources,10,3318,106
sources,10,3385,106
sources,10,3316,106
sources,10,3282,106
sources,10,3368,106
sources,10,3305,106
sources,10,3358,106
sources,10,3336,106
sources,10,3356,106
sources,10,3388,106
sources,10,3329,106
sources,10,3392,106
sources,10,3279,106
sources,10,3322,106
sources,10,3322,106
sources,10,3347,106
sources,10,3348,106
sources,10,3216,106
sources,10,17654,62
sources,10,2530,62
sources,10,2211,62
sources,10,2195,62
sources,10,2213,62
sources,10,2110,62
sources,10,2152,62
sources,10,2192,62
sources,10,2163,62
sources,10,2160,62
sources,10,2151,62
sources,10,2153,62
sources,10,2149,62
sources,10,2176,62
sources,10,2156,62
sources,10,2122,62
sources,10,2173,62
sources,10,2150,62
sources,10,2144,62
sources,10,2173,62
sources,10,2122,62
sources,10,2152,62
sources,10,2133,62
sources,10,2106,62
sources,10,2151,62
sources,10,2168,62
sources,10,2144,62
sources,10,2175,62
sources,10,2145,62
sources,10,2167,62
sources,10,17419,59
sources,10,2380,59
sources,10,2050,59
sources,10,1936,59
sources,10,1978,59
sources,10,1994,59
sources,10,1998,59
sources,10,1942,59
sources,10,1961,59
sources,10,1966,59
sources,10,2049,59
sources,10,1967,59
sources,10,1951,59
sources,10,2005,59
sources,10,1966,59
sources,10,1942,59
sources,10,2007,59
sources,10,1949,59
sources,10,2018,59
sources,10,1988,59
sources,10,1952,59
sources,10,1950,59
sources,10,1965,59
sources,10,1946,59
sources,10,1944,59
sources,10,1947,59
sources,10,1985,59
sources,10,1966,59
sources,10,1945,59
sources,10,1949,59
sources,10,7691,3
sources,10,769,3
sources,10,517,3
sources,10,487,3
sources,10,460,3
sources,10,472,3
sources,10,503,3
sources,10,488,3
sources,10,465,3
sources,10,466,3
sources,10,523,3
sources,10,493,3
sources,10,464,3
sources,10,498,3
sources,10,517,3
sources,10,496,3
sources,10,509,3
sources,10,455,3
sources,10,506,3
sources,10,489,3
sources,10,471,3
sources,10,502,3
sources,10,471,3
sources,10,489,3
sources,10,497,3
sources,10,486,3
sources,10,507,3
sources,10,504,3
sources,10,477,3
sources,10,502,3
sources,10,40558642,471059
sources,10,40221732,471059
sources,10,41078247,471059
sources,10,41065173,471059
sources,10,40985555,471059
sources,10,40646805,471059
sources,10,40558505,471059
sources,10,40479303,471059
sources,10,40434872,471059
sources,10,40529364,471059
sources,10,40840904,471059
sources,10,40373838,471059
sources,10,40627616,471059
sources,10,40722555,471059
sources,10,40782176,471059
sources,10,40642365,471059
sources,10,41042305,471059
sources,10,40685845,471059
sources,10,40613609,471059
sources,10,40341848,471059
sources,10,40517588,471059
sources,10,40589457,471059
sources,10,40737448,471059
sources,10,40845428,471059
sources,10,40616972,471059
sources,10,41126404,471059
sources,10,40546784,471059
sources,10,40500376,471059
sources,10,40783813,471059
sources,10,40488947,471059
sources,10,17747,1
sources,10,684,1
sources,10,498,1
sources,10,386,1
sources,10,408,1
sources,10,378,1
sources,10,386,1
sources,10,365,1
sources,10,360,1
sources,10,401,1
sources,10,390,1
sources,10,406,1
sources,10,390,1
sources,10,390,1
sources,10,364,1
sources,10,421,1
sources,10,373,1
sources,10,357,1
sources,10,362,1
sources,10,398,1
sources,10,400,1
sources,10,394,1
sources,10,387,1
sources,10,399,1
sources,10,404,1
sources,10,390,1
sources,10,379,1
sources,10,392,1
sources,10,379,1
sources,10,391,1
sources,10,11558,5
sources,10,902,5
sources,10,586,5
sources,10,652,5
sources,10,622,5
sources,10,591,5
sources,10,592,5
sources,10,617,5
sources,10,594,5
sources,10,589,5
