archivo_original,tamano_original_mb,tiempo_construccion_ms,tamano_estructura_mb
sources,201.098,35572,2312.63
sources,201.098,35566,2312.63
sources,201.098,35575,2312.63
sources,201.098,35573,2312.63
sources,201.098,35473,2312.63
dna,385.216,109035,4478.13
dna,385.216,109007,4478.13
dna,385.216,109094,4478.13
dna,385.216,109140,4478.13
dna,385.216,107890,4478.13
proteins,1129.2,309181,13409.2
proteins,1129.2,313769,13409.2
proteins,1129.2,314505,13409.2
proteins,1129.2,307458,13409.2
proteins,1129.2,321120,13409.2
