archivo_original,tamano_original_mb,tiempo_construccion_ms,tamano_estructura_mb
sources,201.098,15881,703.843
sources,201.098,15830,703.843
sources,201.098,15891,703.843
sources,201.098,15878,703.843
sources,201.098,15849,703.843
dna,385.216,44403,1396.41
dna,385.216,44314,1396.41
dna,385.216,44322,1396.41
dna,385.216,44373,1396.41
dna,385.216,44343,1396.41
proteins,1129.2,152101,4375.65
proteins,1129.2,151685,4375.65
proteins,1129.2,152435,4375.65
proteins,1129.2,150943,4375.65
proteins,1129.2,151500,4375.65
