archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,19053,1
sources,10,2901,1
sources,10,2418,1
sources,10,2283,1
sources,10,2247,1
sources,10,2251,1
sources,10,2196,1
sources,10,2196,1
sources,10,2248,1
sources,10,2200,1
sources,10,2199,1
sources,10,2208,1
sources,10,2259,1
sources,10,2205,1
sources,10,2198,1
sources,10,2235,1
sources,10,2205,1
sources,10,2190,1
sources,10,2197,1
sources,10,2187,1
sources,10,2199,1
sources,10,2212,1
sources,10,2196,1
sources,10,2200,1
sources,10,2212,1
sources,10,2231,1
sources,10,2199,1
sources,10,2242,1
sources,10,2232,1
sources,10,2205,1
sources,10,13714,10
sources,10,2480,10
sources,10,2411,10
sources,10,2367,10
sources,10,2363,10
sources,10,2359,10
sources,10,2387,10
sources,10,2343,10
sources,10,2363,10
sources,10,2361,10
sources,10,2389,10
sources,10,2388,10
sources,10,2365,10
sources,10,2353,10
sources,10,2371,10
sources,10,2358,10
sources,10,2363,10
sources,10,2363,10
sources,10,2398,10
sources,10,2363,10
sources,10,2370,10
sources,10,2360,10
sources,10,2360,10
sources,10,2353,10
sources,10,2365,10
sources,10,2358,10
sources,10,2343,10
sources,10,2358,10
sources,10,2347,10
sources,10,2397,10
sources,10,15246,20
sources,10,2548,20
sources,10,2405,20
sources,10,2354,20
sources,10,2348,20
sources,10,2384,20
sources,10,2365,20
sources,10,2390,20
sources,10,2341,20
sources,10,2329,20
sources,10,2335,20
sources,10,2359,20
sources,10,2362,20
sources,10,2364,20
sources,10,2335,20
sources,10,2354,20
sources,10,2344,20
sources,10,2341,20
sources,10,2359,20
sources,10,2344,20
sources,10,2374,20
sources,10,2355,20
sources,10,2366,20
sources,10,2360,20
sources,10,2353,20
sources,10,2358,20
sources,10,2380,20
sources,10,2380,20
sources,10,2328,20
sources,10,2345,20
sources,10,15106,32
sources,10,2544,32
sources,10,2366,32
sources,10,2353,32
sources,10,2327,32
sources,10,2376,32
sources,10,2323,32
sources,10,2332,32
sources,10,2336,32
sources,10,2349,32
sources,10,2342,32
sources,10,2376,32
sources,10,2331,32
sources,10,2335,32
sources,10,2374,32
sources,10,2337,32
sources,10,2338,32
sources,10,2331,32
sources,10,2334,32
sources,10,2338,32
sources,10,2394,32
sources,10,2337,32
sources,10,2344,32
sources,10,2334,32
sources,10,2324,32
sources,10,2329,32
sources,10,2330,32
sources,10,2320,32
sources,10,2331,32
sources,10,2320,32
sources,10,17170,2
sources,10,2367,2
sources,10,2331,2
sources,10,2328,2
sources,10,2371,2
sources,10,2360,2
sources,10,2340,2
sources,10,2354,2
sources,10,2345,2
sources,10,2337,2
sources,10,2328,2
sources,10,2331,2
sources,10,2367,2
sources,10,2335,2
sources,10,2338,2
sources,10,2373,2
sources,10,2327,2
sources,10,2333,2
sources,10,2324,2
sources,10,2377,2
sources,10,2348,2
sources,10,2340,2
sources,10,2366,2
sources,10,2322,2
sources,10,2381,2
sources,10,2335,2
sources,10,2339,2
sources,10,2326,2
sources,10,2327,2
sources,10,2391,2
sources,10,13550,4
sources,10,2436,4
sources,10,2269,4
sources,10,2292,4
sources,10,2224,4
sources,10,2214,4
sources,10,2247,4
sources,10,2259,4
sources,10,2265,4
sources,10,2260,4
sources,10,2219,4
sources,10,2255,4
sources,10,2233,4
sources,10,2247,4
sources,10,2213,4
sources,10,2232,4
sources,10,2228,4
sources,10,2230,4
sources,10,2256,4
sources,10,2221,4
sources,10,2229,4
sources,10,2225,4
sources,10,2243,4
sources,10,2232,4
sources,10,2253,4
sources,10,2223,4
sources,10,2264,4
sources,10,2237,4
sources,10,2237,4
sources,10,2239,4
sources,10,17030,3556
sources,10,2459,3556
sources,10,2364,3556
sources,10,2473,3556
sources,10,2377,3556
sources,10,2356,3556
sources,10,2355,3556
sources,10,2346,3556
sources,10,2378,3556
sources,10,2345,3556
sources,10,2382,3556
sources,10,2336,3556
sources,10,2347,3556
